"unique_id","leaf","saturated.water.content","osm.pot.fullturgor","apoplastic.fraction","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"heca_3",3,3.22599215063309,-2.23657852997439,50.3231752149293,9.98719593457854,90.0128040654215,20.1043363334686,79.8956636665314,-2.7993741178613,22.3944593119548,11.1248563139638,0.0436019731554117,0.0877712562025811,0.0885544909896075,0.178261173842618
"heca_4",4,1.93626065392041,-2.37255386219683,20.5156506753436,8.35249943422212,91.6475005657779,10.5083573120867,89.4916426879133,-2.65114572817789,28.4053160479835,22.5777806343521,0.0578043531807547,0.0727241949791285,0.124027185585004,0.156039757057595
"heca_5",5,2.02311668005577,-2.31714500023844,-17.7005104044892,21.1170050368431,78.8829949631568,17.9413028577975,82.0586971422025,-2.8237652813607,10.9728865253178,12.9151434464046,0.0661998432042433,0.0562443127703874,0.300744261318732,0.255516531139241
"heca_6",6,3.73208602682006,-2.28580414078972,15.499212714625,7.54414113460235,92.4558588653976,8.92789449301149,91.0721055069885,-2.50988392995297,30.2990638696502,25.6029475099531,0.0678731749149981,0.0803225355590802,0.162776478200362,0.192633090684274
"laca_1",1,0.350940552230959,-1.13626133786645,-75.3951627486464,24.4966002672461,75.5033997327539,13.966519876236,86.033480123764,-1.32071995254856,4.6384450310263,8.13560821117507,0.205010375365098,0.11688485141343,0.889643377875871,0.507222299597164
"laca_3",3,0.536897140648116,-1.06528225965216,16.3928930156365,15.9986970648181,84.0013029351819,19.1355706971302,80.8644293028698,-1.31736817885927,6.65855635203423,5.56702633285939,0.13742956511946,0.164375458111668,0.518366684059841,0.620003134610061
"laca_4",4,0.370212957563751,-1.14654471352606,-35.5147508084508,28.0790079256925,71.9209920743075,20.7202594242911,79.2797405757089,-1.44620139420254,4.08328070763839,5.53344767576571,0.194941228624147,0.143852405336815,0.464125818382113,0.342490994975264
"laca_5",5,0.483333465603581,-1.02656784433443,22.0291159240509,19.6767685369993,80.3232314630007,25.2360464681057,74.7639535318943,-1.37307859715645,5.21715668100745,4.06786318780895,0.134038195858355,0.171908010851579,0.430057407970223,0.551561538729402
"laca_6",6,0.534289937403479,-0.69687298050697,45.376955693569,31.2868179443624,68.7131820556376,57.2776899230402,42.7223100769598,-1.63116877165965,2.22736930852548,1.21665692426372,0.158431176520934,0.290044574652682,NA,NA
"magr_1",1,1.96281245560963,-1.49321872755085,62.7003647702017,13.3968054446284,86.6031945553716,35.9167197268616,64.0832802731384,-2.33012218036654,11.1460805616878,4.157447391929,0.0619924165051429,0.166201133397727,0.0344003207861761,0.0922269630097992
